PDSE1-S5-S5-S|DC-DC ISOLATED, 1 W, 4.5-5.5 VDC|Mod1|CONV_PDSE1-S5-S5-S|Mod,PSU,4.5-5.5Vin,5Vout,1W, PDSE1-S5-S5-S|CUI|||PDSE1-S5-S5-S|||1|Digi-Key|||USD|||100|||102-6291-ND|||239|||180.73|||1.8073||
2N7002ET1G|Small Signal MOSFET, 60 V, 310 mA, Single, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel|Q1, Q2, Q4|SOT23-3|MOSFET,N-Channel,SOT23,0.25A,60V,2N7002ET1G|ON Semiconductor|ON Semiconductor||2N7002ET1G|2N7002ET1G||3|Digi-Key|LCSC||USD|USD||300|300||2N7002ET1GOSCT-ND|C71533||503144|8260||23.61|7.8||0.0787|0.026|
Vishay CRCW08051K00JNEA|RES 10 OHM 5% 1/8W 0805, Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±200ppm/C Molded SMD Automotive Paper T/R|R1, R25|res, 0805, HD|Res,0805,10.0O,5%,±200ppm/°C,RMCF0805JT10R0, Res,0805,1.00 kO,5%,200ppm,CRCW08051K00JNEA|Stackpole Electronics, Loading...|||RMCF0805JT10R0, Loading...|||2|Digi-Key|||USD, Loading...||||||RMCF0805JT10R0CT-ND, 541-1.0KADKR-ND|||||||||||
RR1220P-8251-D-M|RES SMD 8.25KOHM 0.5% 1/10W 0805|R2, R9|res, 0805, HD|Res,0805,8.25KO,0.5%,±25ppm/°C,RR1220P-8251-D-M|||||||2|||||||||||||||||||||
Vishay / Dale CRCW080510K0FKTA|RES SMD 10K OHM 1% 1/8W 0805, RES 10 OHM 5% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805|R3, R12, R13, R15, R19, R20, R21, R23, R27, R32|res, 0805, HD|Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0O,5%,±200ppm/°C,RMCF0805JT10R0, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA, Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA|Loading..., Stackpole Electronics, Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading...|||Loading..., RMCF0805JT10R0, Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading...|||10|Digi-Key|||Loading..., USD, Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading..., Loading...||||||541-3016-1-ND, RMCF0805JT10R0CT-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND, 541-3016-1-ND|||||||||||
CRCW0805100RJNEAC|RES 100 OHM 5% 1/8W 0805|R4, R8|res, 0805, HD|Res,0805,100O,5%,±200ppm/°C|Loading...|||Loading...|||2|Digi-Key|||Loading...||||||541-100ACT-ND|||||||||||
Res1|Resistor; Metal Film; Res 0.01 Ohms; Pwr-Rtg 3 W; Tol 1%; SMT; 2512; Current Sense|R5|Res 2512|Res,2512,10mO,3.00W,±1%,CRA2512-FZ-R010ELF|||||||1|||||||||||||||||||||
||R6, R24, R30, R31|res, 0805, HD|Res,0805,Generic|||||||4|||||||||||||||||||||
CR0805-JW-471ELF|RES SMD 470 OHM 5% 1/8W 0805|R7, R10, R11, R14, R16, R18|res, 0805, HD|res,0805,470O,5%,200ppm,CR0805-JW-471ELF|Bourns|||CR0805-JW-471ELF|||6|Digi-Key|||USD|||600|||118-CR0805-JW-471ELFCT-ND|||3008|||4.08|||0.0068||
CRCW0805100KFKEA|100 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film|R17, R22, R26, R29|res, 0805, HD|Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA||Loading...|||Loading...||4|RS|Digi-Key|||Loading...||||||541-100KCCT-ND||||||||||
TC33X-2-101E|TRIMMER 100 OHM 0.1W J LEAD TOP|R28|Res,SMD,POT,TC33 Series|Res,POT,SMD,100O,0.1W, TC33X-2-101E||Bourns|||TC33X-2-101E||1|Digi-Key|Digi-Key|||Loading...||||||TC33X-101EDKR-ND|||5|||||||
CR0805-J/-000ELF|RES SMD 0 OHM JUMPER 1/8W 0805|R33, R34|res, 0805, HD|Res,0805,0.0O,150V, CR0805-J/-000ELF|Bourns|Bourns||CR0805-J-000-ELF|CR0805-J-000-ELF||2|Digi-Key|Digi-Key||USD|USD||200|200||CR0805-J/-000ELFCT-ND|CR0805-J/-000ELFDKR-ND||517298|517298||1.58|1.58||0.0079|0.0079|
OS103011MS8QP1|SWITCH SLIDE SP3T 100MA 12V|SW1|Switch,Slide,.SP3T, OS103011 -Side|Switch,TH,Slide,SP3T,100MA,12V,OS103011MS8QP1|ITT C&K|ITT C&K||OS103011MS8QP1|OS103011MS8QP1||1|Digi-Key|LCSC||USD|USD||100|100||CKN9543-ND|C221831||40422|1||64|47.25||0.64|0.4725|
UA78L12ACPKG3|IC REG LINEAR 12V 100MA SOT89-3|U1|SOT89-3|Reg,Linear,Pos,Fixed,12Vout,27Vin,100mA,UA78L12ACPKG3|Texas Instruments|Texas Instruments|Loading...|UA78L12ACPKG3|UA78L12ACPKG3|Loading...|1|Digi-Key|Mouser|Arrow Electronics|USD|USD|Loading...|100|100||296-50454-6-ND|595-UA78L12ACPKG3|UA78L12ACPKG3|6014|2801||27.15|20.4||0.2715|0.204|
SI8920BC-IS|Isolation IC Inverters, Power Supplies, UPS 16-SOIC|U2|SOIC-16 - Wide|IC,CurrentSense,Isolated,8.1Gain,950Khz, SI8920BC-IS|||||||1|||||||||||||||||||||
OPA197IDBVT|General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5|U3, U8|SOT23-5|OPAMP, single, General Purpose,Rail-to-Rail,10MHz,SOT-23-5,OPA197IDBVT|Texas Instruments|Texas Instruments||OPA197IDBVT|OPA197IDBVT||2|LCSC|Digi-Key||USD|USD||200|200||C131929|296-44076-6-ND||67|2036||369.7|299.9||1.8485|1.4995|
LM7321MF/NOPB|Single Rail-to-Rail Input/Output, ±15V, High Output Current and Unlimited Capacitive Load Operational Amplifier, 5-pin SOT-23, Pb-Free|U5, U9|SOT23-5|OPAMP,20Mhz,MOSFET DRIVER,SOT23-5,LM7321MF|Loading...|Loading...||Loading...|Loading...||2|Digi-Key|LCSC||Loading...|Loading...|||||LM7321MF/NOPBCT-ND|C128614||||||||||
HT7550-1|LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 55MV @ 1MA 30V 5V 150MA SOT-89(SOT-89-3) ROHS|U6|SOT89-3|Reg,Linear,Fixed,SOT-89-3,30Vin,5Vout,150mA,HT7550-1|||||||1|||||||||||||||||||||
AP3012KTR-G1|IC REG BOOST ADJ 500MA SOT23-5|U7|SOT23-5|Reg,Switching,Boost,2.6-16Vin,29Vout,0.5A, AP3012KTR-G1|Diodes|Diodes||AP3012KTR-G1|AP3012KTR-G1||1|Digi-Key|LCSC||USD|USD||100|100||AP3012KTR-G1DICT-ND|C102618||248499|11855||25.86|8.8||0.2586|0.088|
